,Day,Route,awt_min,awt_max,awt_avg
0,Monday,E100,25:53,26:14,26:1
1,Monday,F53,60:2,71:33,62:59
2,Monday,X92,24:54,30:51,26:28
3,Monday,F48,24:57,28:52,25:58
4,Monday,F47,28:13,37:9,30:49
5,Monday,96,31:28,38:12,33:27
6,Monday,F54,31:15,37:48,33:30
7,Sunday,E100,23:4,23:28,23:17
8,Sunday,F53,31:43,32:43,31:58
9,Sunday,X92,27:14,27:32,27:20
10,Sunday,F48,13:57,14:8,14:1
11,Sunday,F47,31:56,32:26,32:10
12,Sunday,96,29:58,32:17,30:52
13,Sunday,F54,34:33,35:15,34:48
14,Friday,E100,23:57,26:20,25:39
15,Friday,F53,60:38,65:7,62:12
16,Friday,X92,27:43,30:16,28:47
17,Friday,F48,25:15,25:34,25:25
18,Friday,F47,30:6,42:57,34:27
19,Friday,96,31:48,37:25,34:26
20,Friday,F54,32:31,34:42,33:53
21,Tuesday,E100,25:54,26:22,26:7
22,Tuesday,F53,59:48,73:37,63:30
23,Tuesday,X92,24:59,34:38,28:38
24,Tuesday,F48,25:0,28:10,25:52
25,Tuesday,F47,28:19,44:47,33:0
26,Tuesday,96,31:9,42:42,35:12
27,Tuesday,F54,30:50,37:26,33:10
28,Thursday,E100,25:21,26:25,25:58
29,Thursday,F53,60:28,70:25,64:42
30,Thursday,X92,25:45,29:23,27:11
31,Thursday,F48,25:1,27:48,25:56
32,Thursday,F47,28:39,34:41,31:52
33,Thursday,96,32:40,38:20,34:47
34,Thursday,F54,31:56,35:44,33:6
35,Wednesday,E100,26:3,26:28,26:11
36,Wednesday,F53,59:54,70:27,62:34
37,Wednesday,X92,25:25,29:11,26:40
38,Wednesday,F48,24:59,28:33,25:55
39,Wednesday,F47,27:48,34:43,30:8
40,Wednesday,96,31:38,36:52,33:3
41,Wednesday,F54,30:57,35:47,32:49
42,Saturday,E100,23:12,23:44,23:22
43,Saturday,F53,36:49,45:12,39:24
44,Saturday,X92,30:14,34:15,32:17
45,Saturday,F48,25:4,26:6,25:17
46,Saturday,F47,28:36,33:1,30:24
47,Saturday,96,32:9,39:14,34:54
48,Saturday,F54,35:33,42:46,37:42
